parameter,level,count,median,mean,min,max
optimizer_presolved_variable_types_integer,453,3,0.5606117445583502,0.654509446000957,0.4016398907108913,1.0012767027336296
variable_types_binary_presolved,453,3,0.5606117445583502,0.654509446000957,0.4016398907108913,1.0012767027336296
variable_types_integer_presolved,453,3,0.5606117445583502,0.654509446000957,0.4016398907108913,1.0012767027336296
optimizer_presolve_removed_columns,6987,13,0.5606117445583502,0.9057465726415341,0.4016398907108913,2.3429336250343424
cutting_planes_clique,2.0,10,0.5625643229620505,0.9073538056251553,0.4016398907108913,4.104690328742858
linear_constraint_matrix_constrs_presolved,54647,2,0.563282180060216,0.563282180060216,0.4663401145723885,0.6602242455480435
optimizer_presolved_rows,54647,2,0.563282180060216,0.563282180060216,0.4663401145723885,0.6602242455480435
extra_simplex_iterations_after_uncrush,63,1,0.5671582617837135,0.5671582617837135,0.5671582617837135,0.5671582617837135
linear_constraint_matrix_constrs_presolved,31602,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
linear_constraint_matrix_nzs,554005,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
linear_constraint_matrix_vars,8828,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
linear_constraint_matrix_vars_presolved,1841,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
optimizer_presolved_columns,1841,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
optimizer_presolved_rows,31602,2,0.5804519775588204,0.5804519775588204,0.5492816320456194,0.6116223230720215
